Topic,Count,Name,Representation,Aspect1,Aspect2,Representative_Docs
25,15,25_planning_scheduled_meetings_schedule,"['planning', 'scheduled', 'meetings', 'schedule', 'project', 'meeting', 'conducted', 'design', 'management', 'scope']","['project', 'schedule', 'meeting', 'meetings', 'customer', 'delivery', 'design', 'sure', 'reports', 'staff']","['planning', 'meetings', 'conducted', 'design', 'management', 'scope', 'assemble', 'hours', 'establish', 'aec']","[' The project scope and schedule are monitored continuously to make sure the project is executed on time and within budget so that surprises and unforeseen circumstances are reduced and thus overall risk is decreased for you. ', ' The project shall have a Preliminary Project Schedule. ', ' The AEC shall encourage direct contact between the customer and the design staff continuously through the project however all communication regarding schedule cost delivery and or changes to the project shall be conducted through and approved by the Project Manager. ']"
26,15,26_welded_tube_commissioning_equipment,"['welded', 'tube', 'commissioning', 'equipment', 'contracting', 'configuration', 'conveyors', 'installation', 'tooling', 'aec']","['tube', 'responsible', 'installation', 'supply', 'site', 'startup', 'configuration', 'customs', 'machines', 'resonant']","['welded', 'commissioning', 'equipment', 'contracting', 'installation', 'aec', 'cabinet', 'circuits', 'scheduling', 'documentation']","[' Welded Tube shall be responsible for the supply installation configuration startup and commissioning of all bucker units including tooling. ', ' Welded Tube shall be responsible for the supply installation configuration startup and commissioning of the equipment. ', ' Welded Tube shall be responsible for the supply installation configuration startup and commissioning of all entry and exit vrollers conveyors escapement mechanisms and AEC shall work with Welded Tube to verify handshaking signals between conveyors and AEC equipment. ']"
27,15,27_mixture_density_mixing_cement,"['mixture', 'density', 'mixing', 'cement', 'mix', 'topsoil', 'sediment', 'lime', 'seeding', 'compacted']","['cement', 'water', 'percent', 'density', 'mixture', 'dry', 'compact', 'operations', 'stockpile', 'slopes']","['mixture', 'density', 'cement', 'topsoil', 'sediment', 'seeding', 'finishing', 'stockpiles', 'permeable', 'salvage']","['Complete final compacting and finishing operations within 12 of\nthe final mixing. Compact the mixture to a minimum of 95 percent of the maximum density\nas determined by AASHTO T 99 or AASHTO T 180. Remove all equipment imprints and\nuse a pneumatic-tired roller for final finish rolling.', 'Compact to a minimum of 95 percent of the maximum density as determined by AASHTO T 180\nor AASHTO T 99. The Engineer will determine in-place density according to AASHTO T 191 or\nT 310, correcting for oversized particles as necessary.', 'Compact the mixture to a minimum of [95] percent of the max-\nimum density as determined from a field sample, taken as compaction begins, according to\nAASHTO T 134. The Engineer will determine in-place field density according to AASHTO\nT 191 or T 310, correcting for oversized particles as necessary.']"
28,14,28_pipe_vrollers_inspection_process,"['pipe', 'vrollers', 'inspection', 'process', 'transferred', 'position', 'transfer', 'threading', 'coupling', 'line']","['pipe', 'vrollers', 'next', 'operator', 'threading', 'position', 'inspection', 'manual', 'footswitch', 'dope']","['pipe', 'vrollers', 'inspection', 'position', 'transfer', 'threading', 'coupling', 'manually', 'bearings', 'rotate']","[' Each of the vrollers shall then return to the up position and shall be prepared to accept the next pipe. ', ' Each of the vrollers shall then return to the up position and shall be prepared to accept the next pipe. ', ' Each of the vrollers shall then return to the up position and shall be prepared to accept the next pipe. ']"
29,14,29_pipe_transferred_transfer_inspection,"['pipe', 'transferred', 'transfer', 'inspection', 'conveyor', 'threading', 'coupling', 'box', 'beam', 'lift']","['box', 'threading', 'end', 'transfer', 'station', 'vrollers', 'pipe', 'drift', 'protector', 'inspection']","['transfer', 'inspection', 'conveyor', 'coupling', 'lift', 'clamp', 'vrollers', 'pin', 'drift', 'cso']","[' Each pipe shall be transferred by vrollers into the box end drift and threading protector station. ', ' Each of the box end drift and threading protector station vrollers shall transfer the pipe towards the operator for manual application of dope and coupling screw on. ', ' Each pipe shall be transferred by walking beam out of the box end threading station and onto the transfer table towards the box end threading inspection station. ']"
30,14,30_requirements_specifications_documents_manuals,"['requirements', 'specifications', 'documents', 'manuals', 'requirement', 'instrumentation', 'capabilities', 'engineering', 'manufacturing', 'data']","['data', 'documents', 'requirements', 'pack', 'part', 'following', 'process', 'parametric', 'review', 'applicable']","['requirements', 'specifications', 'manuals', 'instrumentation', 'procedures', 'packages', 'fabrication', 'lists', 'parts', 'complete']","['All Engineering documents and data listed in the Vendor Data Requirements Form including but not limited to the following: Process Instrumentation Diagram.', 'All Engineering documents and data listed in the Vendor Data Requirements Form including but not limited to the following: Approval Drawings for Review prior to fabrication.', 'All Engineering documents and data listed in the Vendor Data Requirements Form including but not limited to the following: Operation and Maintenance Manuals.']"
31,14,31_cspmidcbf_midcbf_labelling_packaging,"['cspmidcbf', 'midcbf', 'labelling', 'packaging', 'markings', 'labeling', 'handbooks', 'equipment', 'accordance', 'safety']","['equipment', 'packaging', 'labelling', 'equivalent', 'such', 'environment', 'method', 'facilitate', 'location', 'identification']","['cspmidcbf', 'labelling', 'packaging', 'markings', 'handbooks', 'equipment', 'safety', 'etsi', 'logistics', '075']","['Where items used in CSP_Mid.CBF require labelling, the method of marking shall be compliant with the SKA Logistic Analysis Plan. The nature of the item, its environment and its use will determine the method.', 'CSP_Mid.CBF equipment shall in accordance with ISO 61310_2 or equivalent bear all markings necessary:\nfor its unambiguous identification;\n for its safe use;\nand supplementary information shall be given, as appropriate:\n permanently on the machinery;\n in accompanying documents such as instruction\nhandbooks;\n on the packaging.', 'All components and spares of the CSP_Mid.CBF, in their transport packaging, shall not be damaged while, and shall perform to specification as defined herein, after being transported under conditions as defined in “Class 2.2: careful transportation” of the ETSI EN 300 019-1-2 standard and defined in BS EN IEC 60721- 3-2:\n Climatic conditions 2K5H\n Biological conditions 2B3\n Chemical conditions 2C1\n Dust and Sand conditions 2S3\n Shock & Vibration conditions 2M3']"
32,14,32_wiring_wires_relays_wire,"['wiring', 'wires', 'relays', 'wire', 'panels', 'switches', 'colors', 'electrical', 'lighting', 'color']","['yellow', 'green', 'red', 'solid', 'flashing', 'dc', 'blue', 'control', 'panels', 'wire']","['wiring', 'relays', 'panels', 'yellow', 'fuse', 'neutral', '24v', 'outlets', '208vac', 'module']","['all wire runs to and from electrical or electronic service enclosures and control panels will be completely concealed where possible exposed wires must have appropriate fittings on wires leaving wire runs and entering enclosures cabinets.', 'wire colors will be as follows\nac neutral ñ white\nac hot ñ black (208vac and above)\nac hot ñ red (1.020vac and below)\nac ground ñ green with yellow strip\nac control ñ red\ndc negative ñ light blue or blue and white\ndc positive ñ brown\ndc control ñ dark blue\ndc ground ñ green\nsecondary source ñ orange.', 'module status indicator lighting will be as follows\ngreen light (solid): no faults present on module\ngreen (flashing): quality check is switched off\nyellow (solid): manual mode ñ not in automatic\nyellow (flashing): parts bin out of parts\nred and yellow (flashing): station out of parts\nred (solid): station is faulted\nred (flashing): station stopped - part failed caused by % counter of faults\ngreen and yellow and red (solid): station is deactivated\ngreen (solid) yellow (flashing): no faults, cycle time above limit.']"
33,13,33_ska1sysreq2180_ska1mid_sensitivity_polarization,"['ska1sysreq2180', 'ska1mid', 'sensitivity', 'polarization', 'polarisations', 'dish', 'spf', 'channels', 'magnitude', 'range']","['band', 'sensitivity', 'dish', 'channels', 'precision', 'polarization', 'operating', 'range', 'angle', 'standard']","['ska1sysreq2180', 'sensitivity', 'polarisations', 'dish', 'spf', 'range', 'subband', 'spectra', 'average', 'horizon']","['The sensitivity of a SKA1_Mid dish shall not be less than the following compared to that which is specified in R.M.P.1, at any pointing angle over the full accessible elevation range, under precision and standard operating conditions, and when calculated as an average over any 1 MHz interval over the specified frequency range in both polarization channels: 75% for SPF band 3.', 'The sensitivity of a SKA1_Mid dish shall not be less than the following compared to that which is specified in R.M.P.1, at any pointing angle over the full accessible elevation range, under precision and standard operating conditions, and when calculated as an average over any 1 MHz interval over the specified frequency range in both polarization channels: 75% for SPF band 1.', 'The sensitivity of a SKA1_Mid dish shall not be less than the following compared to that which is specified in R.M.P.1, at any pointing angle over the full accessible elevation range, under precision and standard operating conditions, and when calculated as an average over any 1 MHz interval over the specified frequency range in both polarization channels: 75% for SPF band 4.']"
34,13,34_suppliers_supplier_contractual_fabrication,"['suppliers', 'supplier', 'contractual', 'fabrication', 'purchasers', 'weld', 'purchaser', 'welder', 'inspections', 'approval']","['purchaser', 'approval', 'fabrication', 'tests', 'performance', 'necessary', 'inspections', 'producer', 'right', 'charge']","['suppliers', 'contractual', 'purchaser', 'welder', 'inspections', 'requirements', 'receipt', 'guarantee', 'deemed', 'fabricating']","['Prior to starting fabrication the Supplier and the Supplierís approved Sub-Suppliers shall submit the following for Purchaser approval: Weld Procedure Qualifications.', 'Prior to starting fabrication the Supplier and the Supplierís approved Sub-Suppliers shall submit the following for Purchaser approval: Weld Repair Procedures.', 'The Supplier shall guarantee system performance and component design in accordance with the Purchaserís documents and data Should the system or components not perform in accordance with the Purchaserís documents and data, the Supplier shall make the necessary adjustments for compliance with that specified by the Purchaser in a timely manner at no charge to the Purchaser All repairs and replacements must be approved by the Purchaser prior to the work being performed.']"
35,13,35_dsh_monitoring_reporting_tm,"['dsh', 'monitoring', 'reporting', 'tm', 'status', 'maintenance', 'logging', 'logs', 'messages', 'report']","['reporting', 'logging', 'status', 'events', 'alarms', 'monitoring', 'logs', 'messages', 'request', 'items']","['dsh', 'monitoring', 'tm', 'logs', 'messages', 'mode', 'session', 'command', 'optionally', 'accordance']","['The TM shall be able to request the DSH to configure the level of reporting of monitoring points, alarms, events and logs.', 'The TM shall send not fitted status of items in the DSH structure of reporting. ', 'The TM shall send in-maintenance status of items in the DSH structure of reporting.']"
36,13,36_csp_cspmidcbf_ska1_sdp,"['csp', 'cspmidcbf', 'ska1', 'sdp', 'cbf', 'protocol', 'cspmidlmc', 'cspmidpss', 'ska1mid', 'mid']","['protocol', 'data', '', '', '', '', '', '', '', '']","['cspmidcbf', 'ska1', 'sdp', 'protocol', 'dish', 'compliant', 'icd', 'skatelcsp0000019', 'metadata', 'receive']","['When commanded, CSP_Mid.CBF shall receive and interpret packet metadata from SKA1 Mid DISHes as specified in the DISH to CSP ICD.', 'When commanded, CSP_Mid.CBF shall accept and interpret data from SKA1 Mid DISHes according to the protocol defined in the DISH to CSP ICD.', 'The interface between DISH and CSP_Mid.CBF shall be compliant with the SKA1 DISH to CSP Interface Control Document [SKA-TEL-SKO-0000124].']"
37,13,37_creel_assembly_assemblies_supplier,"['creel', 'assembly', 'assemblies', 'supplier', 'assembled', 'components', 'sketch', 'sections', 'loader', 'building']","['creel', 'bobbins', 'supplier', 'line', 'aisle', 'assembly', 'bottom', 'system', 'size', 'top']","['creel', 'assemblies', 'components', 'sketch', 'loader', 'frame', 'facility', 'bobbins', '0750', 'rectangular']","['The Creel frames shall be configured with three (3) 73í-0î long frame sections with a creel loader aisle way on both sides of the center section The aisle ways are provided to accommodate an Automated Creel Loading System and provide operator access during change over to cut and tie yarn ends.', 'The new Line 3 Creel Assembly consists of three (3) framework assemblies with a total of 440 spindle positions for PAN bobbins, reference Toho Tenax sketch No SKETCH002 The center Creel assembly will hold 220 bobbins with 110 bobbins on the right and left side The two outside frame assemblies will hold 110 bobbins Each of the bobbins is unwound into either a top or a bottom sheet, and fed into the production line for processing.', 'The Supplier of the new Line 3 Creel Assembly shall be required to coordinate and communicate with the Supplier of the Line 3 Automated Creel Loading System to ensure proper system interface The supplier of the Line 3 Automated Creel Loading System will be leading the coordination efforts.']"
38,11,38_pipe_pushbutton_pushbuttons_button,"['pipe', 'pushbutton', 'pushbuttons', 'button', 'operator', 'press', 'inspection', 'outputs', 'transfer', 'station']","['pushbutton', 'operator', 'local', 'transfer', 'station', 'button', 'completion', 'pipe', 'motion', 'threading']","['pushbutton', 'inspection', 'outputs', 'pin', 'transferred', 'threading', 'stops', 'robot', 'bucker', 'must']","[' The operator shall have a local operator pushbutton station to transfer pipe in and indicate completion for pipe transfer out of the box end drift and threading protector station. ', ' The operator shall have a local operator pushbutton station to transfer pipe in and indicate completion for pipe transfer out of the box end pipe dope station. ', ' The operator shall have a local operator pushbutton station to transfer pipe in and indicate completion for pipe transfer out of the box end threading inspection station. ']"
39,11,39_clearance_workbench_workstations_worker,"['clearance', 'workbench', 'workstations', 'worker', 'reach', 'workstation', 'inches', 'minimum', 'floor', 'horizontal']","['workbench', 'inches', 'grab', 'clearance', 'containers', 'front', 'floor', 'bins', 'edge', 'worker']","['clearance', 'workbench', 'workstations', 'horizontal', 'feet', 'employees', 'radius', 'robotic', 'optimum', 'fixture']","['access under the equipment will have a minimum of 1.0 foot clearance from the floor to any wire way or main wiring and or enclosures equipment to allow for quick and effective cleaning under the equipment (does not include equipment bolted to the floor such as robotic bases or structural footing).', 'maximum reach from the front edge of the machine to the center point of the work piece fixtures or work bins shall not exceed 1.05 inches with no turns or step requirements for operators the main fixture should be max 1.04 inches to centerline of part away from the front edge of the workbench that worker is standing.', ""grab containers or component bins (pic bins) should be arranged within the optimum field of vision, which are about 1.05∫ on either side of the centerline of the employee's head when directly facing the workstation grab containers should be a max 1.02î away from the edge of the workbench for easy reach grab containers should have a short front wall to allow easy search and pick of the component by the operator.""]"
40,10,40_packets_packet_bytes_sampling,"['packets', 'packet', 'bytes', 'sampling', 'counter', 'sequencenumber', '1pps', 'samples', 'data', 'sample']","['packet', 'number', 'band', '1pps', 'samples', 'sample', 'counter', 'bytes', 'first', 'recovery']","['packets', 'sampling', 'sequencenumber', 'encoding', 'ghz', 'metadata', 'frerseqrcvyresetmsec', 'duration', 'pps', 'streaming']","['All packets except the packet preceding 1PPS shall carry the same number of samples, forming a payload of 8000 bytes. The packet preceding 1 PPS carries the remainder of samples from the 1PPS cycle which may be any number up to the pre-agreed packet size of 8000 bytes.', 'The packet counter shall indicate the intra-second packet number, with 0 indicating the packet that contains the first data following a 1PPS boundary.', 'Each DSH to CSP data packet shall contain at least the following meta-data: \na) Dish ID.\nc) Band ID.\nd) Packet counter.\ne) UTC time code.\nf) Number of bits per sample.\ng) Number of time samples per packet.\nh) Number of time samples per second (sampling frequency in bands 1-3 or sub-band re-sampling frequency in bands 4-5a&b)\ni) Calibration noise diode on/off marker (TBC).\nj) Sample number of the first sample in the packet, counted from the 1PPS streaming start for the duration of the observation.\nk) Presence of flagged samples marker \nl) Detected 1pps deviation']"
41,9,41_ska1_ska1mid_rms_dish,"['ska1', 'ska1mid', 'rms', 'dish', 'hz', 'phase', 'stability', 'delay', 'signals', 'dishes']","['minutes', 'stability', 'clock', 'dish', 'band', 'intervals', 'scales', 'changes', 'input', 'wide']","['ska1', 'rms', 'hz', 'phase', 'delay', 'signals', 'dishes', 'sky', 'ms', 'degradation']","['Each SKA1_Mid dish, under Standard and Degraded Operating Conditions (including orientation changes), shall have a phase stability of <= 20° peak to peak over time scales of 5 seconds up to 5 minutes.', 'The SKA1_Mid dish, under Standard and Degraded Operating Conditions and when terminated on Cold sky, shall have a wide band gain stability of <= 3 % RMS over time scales of 5 seconds up to 5 minutes.', 'The SKA1_Mid dish, under Standard Operating Conditions, shall have a phase stability of <= 2 ° RMS after correcting for a linear fit based on measurements taken with 5 second sampling at 5 minute time intervals, even when it changes orientation arbitrarily and when it switches from a band to any other band and then back.']"
42,9,42_pipelines_pipeline_pipe_concrete,"['pipelines', 'pipeline', 'pipe', 'concrete', 'mortar', 'specifications', 'mortarjointed', 'mortared', 'trench', 'hydrostatic']","['concrete', 'pipe', 'nonreinforced', 'specifications', 'joints', 'trench', 'backfill', 'pipelines', 'soil', 'standard']","['pipeline', 'mortar', 'specifications', 'hydrostatic', 'compliance', 'culvert', 'soils', 'backfill', 'lbft2', 'rubbergasket']","['Stoppage and horizontal joints for cast-in-place pipelines shall conform to the requirements of ACI Standard 346, Specifications for Cast-in-Place Nonreinforced Concrete Pipe. Connection joints shall be prepared by cleaning and freeing of loose or defective concrete, coatings, and foreign material. The contact faces of the pipe and fittings shall be wetted and the fitting mortared into place using bonding mortar as specified in the above-referenced standard.', 'Maximum working head for cast-in-place pipelines shall be 4.5 m (15 ft) above the centerline of the pipe. Maximum working heads for precast nonreinforced concrete pipe with mortar joints shall not exceed one-fourth the certified hydrostatic test pressure as prescribed in ASTM Standard C118, Specifications for Concrete Pipe for Irrigation or Drainage, and for pipelines with rubber-gasket joints, one-third the certified hydrostatic test pressure as prescribed in ASTM Standard C505, Specifications for Nonreinforced Concrete Irrigation Pipe with Rubber Gasket Joints', 'The initial soil backfill, with the moisture content specified in paragraph 4.4.1.3, shall be noncohesive of a texture coarser than clay. (Soil will not ribbon in fingers when wet, or shall not have more than 30% by weight of material finer than 2 µ.) It shall be free from rocks or other pieces larger than 75 mm (3 in.), broken concrete, timber, roots, and other debris. The backfill shall be placed around the pipe in lifts uniformly on both sides to prevent displacement and consolidated to densities as given in the project specifications. The backfill shall cover the pipe to a depth of at least 150 mm (6 in.) for the full width of the trench and not more than seven sections of pipe behind the laying. If laying ceases for 2 h or more, the initial backfill shall be brought up to and cover the last completed joint. Backfilling while mortar bands are still plastic is permissible. If complete backfilling is not done at this time, the completion shall be delayed at least 20 h, but must be completed to the minimum specified cover or 0.6 m (2 ft), whichever is less, before water is put into the line.']"
43,9,43_pipe_cnc_pipes_tube,"['pipe', 'cnc', 'pipes', 'tube', 'threading', 'pneumatically', 'welded', 'alignment', 'centering', 'machine']","['machine', 'speed', 'travel', 'pipe', 'preloaded', 'inch', 'threading', 'high', 'hundredths', 'chuck']","['pipe', 'cnc', 'pneumatically', 'alignment', 'chuck', 'transferred', 'vrollers', 'brush', 'sensor', 'encoder']","[' Each pipe shall stop plus or minus three hundredths of an inch inside the CNC threading machine. ', ' Each pipe shall be passed through the alignment rollers and the CNC chuck and is transferred into the CNC machine at high speed. ', ' Each pipe shall be passed through the alignment rollers and the CNC chuck and is transferred into the CNC machine at high speed. ']"
44,9,44_plcs_plc_controls_hardware,"['plcs', 'plc', 'controls', 'hardware', 'computers', 'programming', 'equipment', 'modem', 'control', 'controlled']","['system', 'integrator', 'programming', 'pierburg', 'pc', 'ladder', 'upgrades', 'collection', 'consistency', 'manufacture']","['plcs', 'controls', 'modem', 'programmer', 'protocol', 'bus', 'integrator', 'symbols', 'pc', 'module']","['equipment controls shall have a high-speed modem for offsite accessed by system integrator to support troubleshooting and upgrades system integrator to coordinate equipment and protocol with pierburg inc information technology officer.', ""all computers (not plcís) to be used for manufacture of assembly lines will be approved and or purchased by pierburg's it department for system consistency through out the plant integrator to provide system requirements to pierburg for purchase determination."", 'symbols and symbol comments: the purpose of symbolic addressing is to allow the plc programmer to write the software using meaningful symbols rather than having to remember addresses for input and output symbols where possible electrical drawing references should be used where these are not available use of a simple description should be used.']"
45,8,45_dsh_firmware_maintenance_diagnostics,"['dsh', 'firmware', 'maintenance', 'diagnostics', 'mode', 'patching', 'components', 'availability', 'capability', 'replaceable']","['availability', 'capability', 'faulty', 'upgrade', 'firmware', 'replaceable', 'units', 'list', 'software', 'set']","['dsh', 'firmware', 'maintenance', 'diagnostics', 'provision', 'drilldown', 'interfaces', 'enable', 'remotely', 'commandline']","['The DSH shall enable patching and upgrade of software and firmware remotely.', 'DSH, when in MAINTENANCE mode shall enable the sub-element engineering interfaces, and shall enable the upgrade of software and firmware.', 'The DSH components shall be designed modular to enable easy removal and replacement of faulty line replaceable units.']"
46,8,46_markings_marking_labelled_packaging,"['markings', 'marking', 'labelled', 'packaging', 'engraved', 'marked', 'documents', 'items', 'shipment', 'machinery']","['number', 'markings', 'machinery', 'replaceable', 'marking', 'safe', 'tag', 'item', 'packaging', 'line']","['markings', 'labelled', 'packaging', 'engraved', 'documents', 'items', 'machinery', 'serial', 'handbooks', 'information']","['Each piece of equipment shall be identified with a durable shipping tag securely attached and plainly marked with the Purchaserís order number, asset number, and tag number.', 'Unless otherwise stated in the contract or order, the cleaning, preservation, and packing of castings for shipment shall be in accordance with the manufacturer’s commercial practice. Packaging and marking shall also be adequate to identify the contents and to ensure acceptance and safe delivery by the carrier for the mode of transportation employed.', 'In accordance with ISO 61310_2, machinery shall bear all markings which are necessary \n– for its unambiguous identification;\n– for its safe use;\nand supplementary information shall be given, as appropriate: \n– permanently on the machinery;\n– in accompanying documents such as instruction handbooks; \n– on the packaging']"
47,8,47_criteria_fat_equipment_procedure,"['criteria', 'fat', 'equipment', 'procedure', 'formal', 'drawings', 'consist', 'material', 'approved', 'welded']","['criteria', 'factory', 'procedure', 'transfer', 'acceptance', 'dimensional', 'contractual', 'formal', 'seconds', 'proper']","['criteria', 'fat', 'equipment', 'procedure', 'formal', 'drawings', 'welded', 'verification', 'contractual', 'document']","[' FAT criteria shall consist of equipment constructed according to approved drawings. ', ' Preliminary FAT criteria are shown below and the AEC and Welded Tube shall develop a formal FAT procedure during the project and this procedure shall become the contractual document stipulating factory acceptance of the equipment. ', ' FAT criteria shall consist of proper material transfer station to station. ']"
48,8,48_bobbins_bobbin_spindle_spools,"['bobbins', 'bobbin', 'spindle', 'spools', 'spool', 'loaders', 'diameter157', 'sizelength850', 'diameter711', 'diameter']","['bobbin', 'inches', 'spindle', 'mm', 'loading', 'spools', 'design', 'releasing', 'core', 'freedom']","['bobbins', 'spindle', 'spool', 'loaders', 'sizelength850', 'chuck', 'supplier', 'drawing', 'locking', 'overlap']","['Spindle design shall incorporate a means to lock bobbin spools in place during unwinding operation Self-locking core chuck or similar design shall be used to allow freedom of movement when loading and unloading bobbins without requiring manual locking or releasing.', 'Bobbin Spool Size:Length:850 mm (33.46î) +- 0.04 inches Inside Diameter: 133 mm (5.24î) +- 0.03 inches Outside Diameter:157 mm (6.18 inches) Spool Overlap: 31 mm (1.23 inches) each end.', 'Each spindle shall allow approximately 300 mm (12 inches) of unsupported bobbin spool length to allow room for the Creel Loaders to grip and support bobbin spools while loading and unloading Creel.']"
49,8,49_pipe_vrollers_drop_roll,"['pipe', 'vrollers', 'drop', 'roll', 'inspection', 'automatically', 'station', 'rollers', 'rise', 'next']","['returns', 'next', 'vrollers', 'pipe', 'inspection', 'station', 'idler', 'end', 'radial', 'box']","['pipe', 'vrollers', 'drop', 'inspection', 'automatically', 'station', 'rollers', 'gravity', 'radial', 'idler']","[' After the pipe returns from inspection the vrollers shall automatically drop to allow the pipe to roll to the next station. ', ' After the pipe returns from inspection the vrollers shall automatically drop to allow the pipe to roll to the next station. ', ' After the pipe returns from inspection the vrollers shall automatically drop to allow the pipe to roll to the next station. ']"
50,8,50_feeders_feeding_feeder_bowl,"['feeders', 'feeding', 'feeder', 'bowl', 'refilling', 'systems', 'enclosures', 'capacity', 'automatic', 'metering']","['bowl', 'feeding', 'feeders', 'feeder', 'liquids', 'systems', 'capacity', 'unused', 'jets', 'ring']","['feeders', 'bowl', 'refilling', 'systems', 'enclosures', 'capacity', 'metering', 'sensors', 'safetydoors', 'upstream']","['a quick dump gate should be constructed into any bowl that is designed to run more than one style or size of part.', 'automatic feeding systems (e.g. bowl feeders) will be delivered with 20% unused capacity to accommodate future capacity improvements.', 'feeding systems will monitor parts in such a way as to ensure that parts have left the feeder and arrived at the application device positive tracking and control of the part at all time will be maintained until acceptable processing is completed (e.g. ring sensors).']"
51,8,51_disc_electrode_surface_concentric,"['disc', 'electrode', 'surface', 'concentric', 'surfaces', 'radially', 'diameter', 'flat', 'measured', 'marks']","['disc', 'electrode', 'marks', 'msi', 'concentric', 'mm', 'surfaces', 'external', 'base', 'deeper']","['disc', 'electrode', 'concentric', 'surfaces', 'marks', 'scratches', 'contact', '000150m', 'deviations', 'subsection']","['Mechanical marks and abrasions—such as cable marks, dinges, guide marks, roll marks, ball scratches, scores, and die marks—and pits, any of which imperfections are deeper than 1⁄16 in. [1.6 mm]', 'The H-F electrode shall be concentric with the disc electrode within .018(.46 mm).', 'Contact disc external surfaces and H-F electrode shall be gold plated min 10 msi or silver plated 15 msi on external surfaces (edges of disc need not be plated).']"
52,7,52_nameplate_equipment_stainless_supplier,"['nameplate', 'equipment', 'stainless', 'supplier', 'manufacturers', 'mounted', 'items', 'steel', 'standard', 'screw']","['nameplate', 'stainless', 'information', 'items', 'steel', 'following', 'equipment', 'number', 'fasteners', 'address']","['nameplate', 'equipment', 'stainless', 'screw', 'serial', 'dish', 'purchasers', 'stamped', 'cr301', 'metric']","['Major equipment items supplied by the Supplier shall be fitted with a securely mounted stainless steel nameplate displaying the following information: The purchaserís equipment asset number (TBD).', 'Major equipment items supplied by the Supplier shall be fitted with a securely mounted stainless steel nameplate displaying the following information: Manufacturerís serial number.', 'Major equipment items supplied by the Supplier shall be fitted with a securely mounted stainless steel nameplate displaying the following information: Manufacturerís model and type number.']"
53,7,53_downstream_station_upstream_parts,"['downstream', 'station', 'upstream', 'parts', 'shift', 'automatic', 'waits', 'ftq', 'collective', 'runs']","['shift', 'parts', 'good', 'collective', 'downstream', 'run', 'waits', 'total', 'time', 'upstream']","['downstream', 'station', 'parts', 'automatic', 'waits', 'ftq', 'collective', 'runs', 'pallet', 'rework']","['downstream full time ñ collective time by shift that a station waits to continue without being faulted due to the downstream being full.', 'input wait time ñ collective time by shift that a station waits without being faulted for parts from a station upstream.', 'good parts ñ total number of good ftq parts by shift run through the station.']"
54,7,54_yarn_bobbins_bobbin_combs,"['yarn', 'bobbins', 'bobbin', 'combs', 'spools', 'comb', 'spindles', 'ends', 'rollers', 'tie']","['yarn', 'guide', 'combs', 'rollers', 'bobbins', 'mm', 'layer', 'long', 'operators', 'diameter']","['yarn', 'bobbins', 'spools', 'comb', 'spindles', 'guides', 'pins', 'sheet', 'length', 'eyelets']","['Yarn Guides shall be provided along the Creel length to guide yarn to the creel exit to prevent tangling and maintain take-off position to combs Each yarn guide shall be adjustable across the sheet width.', 'Yarn Rollers shall be mounted a) at the end of each layer of bobbins and b) at the production line infeed The yarn rollers shall be positioned to set the yarn elevation before entering combs Rollers shall be 80 mm diameter by 500 mm long Rollers shall be 120 mm diameter by 2200 mm long.', 'When the yarn is near the end on the bobbin spools at the end of a production run, the operators cut the yarn and tie it to the nearest yarn guide.']"
55,7,55_packaging_srus_packaged_carrying,"['packaging', 'srus', 'packaged', 'carrying', 'transport', 'equipment', 'transportation', '40kg', 'storage', 'lrus']","['packaging', 'mass', 'transportation', 'damage', 'repackaging', 'corridors', 'vehicle', 'constraints', 'doors', 'more']","['packaging', 'srus', 'transport', 'equipment', '40kg', 'storage', 'lrus', 'constraints', 'bins', 'spare']","['Packaging sizes shall consider standard vehicle transportation as well as entry constraints imposed by doors and corridors.', 'Packaged LRU’s and SRU’s with a mass of more than 15kg and less than 40kg shall have\ncarrying handles.', 'All SRUs and LRUs shall be packaged for Transportation Conditions to prevent incurring any residual damage.']"
56,7,56_valves_vents_inlet_valve,"['valves', 'vents', 'inlet', 'valve', 'pipelines', 'pipeline', 'orifice', 'pneumatic', 'air', 'circulation']","['vents', 'valves', 'air', 'solenoid', 'banks', 'valve', 'pipeline', 'reach', 'mechanical', 'lubricator']","['valves', 'vents', 'orifice', 'pneumatic', 'solenoid', 'regulator', 'below', 'shutoff', 'lubricator', 'nonrubbergasket']","['Where it would not be possible or practical to drain a pipeline to replace or repair mechanical air vents, a shutoff valve should be installed between the pipe and the valve.', 'solenoid valves will be mounted within reach of controlled air cylinder.', 'solenoid valve banks and io banks will be located within reach of controlled air cylinders all valves and io banks will be mounted above the base plate and visible.']"
